,Gender,Age,Country,Education,Major,Profession,Industry,Experience,Annual_Salary,target
8892,Male,30-34,Other,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,I am a student,2-3,"0-10,000",5000
8893,Male,50-54,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Government/Public Service,2-3,"70-80,000",75000
8894,Male,35-39,Europe,Master’s degree,"Computer science (software engineering, etc.)",Consultant,Computers/Technology,5-10,"50-60,000",55000
8895,Male,18-21,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"0-10,000",5000
8896,Male,25-29,Asia,Bachelor’s degree,Mathematics or statistics,Data Scientist,Other,2-3,"0-10,000",5000
8897,Male,25-29,Europe,Master’s degree,Physics or astronomy,Research Scientist,Academics/Education,0-1,"40-50,000",45000
8900,Male,30-34,Europe,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Scientist,Computers/Technology,1-2,"20-30,000",25000
8901,Male,45-49,India,Master’s degree,"Computer science (software engineering, etc.)",Manager,Computers/Technology,10-15,"90-100,000",95000
8902,Male,22-24,Europe,Master’s degree,"Computer science (software engineering, etc.)",Research Scientist,Computers/Technology,1-2,"20-30,000",25000
8903,Male,40-44,Asia,Bachelor’s degree,"Computer science (software engineering, etc.)",Product/Project Manager,Manufacturing/Fabrication,15-20,"90-100,000",95000
8905,Male,45-49,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Accounting/Finance,0-1,"80-90,000",85000
8907,Female,50-54,India,Master’s degree,Engineering (non-computer focused),Data Analyst,Government/Public Service,10-15,"10-20,000",15000
8908,Male,40-44,Europe,Master’s degree,Mathematics or statistics,Research Assistant,Hospitality/Entertainment/Sports,5-10,"30-40,000",35000
8911,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"10-20,000",15000
8913,Male,35-39,Asia,Doctoral degree,Mathematics or statistics,Data Scientist,Online Business/Internet-based Sales,2-3,"10-20,000",15000
8915,Female,30-34,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,2-3,"50-60,000",55000
8916,Male,60-69,South America,Master’s degree,Engineering (non-computer focused),Software Engineer,Manufacturing/Fabrication,10-15,"125-150,000",137500
8917,Male,25-29,Europe,Doctoral degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Research Scientist,Medical/Pharmaceutical,0-1,"50-60,000",55000
8918,Male,25-29,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,Other,0-1,"30-40,000",35000
8920,Male,30-34,Other,Master’s degree,Other,Other,Other,0-1,"10-20,000",15000
8924,Male,22-24,Europe,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"0-10,000",5000
8927,Male,25-29,Europe,Doctoral degree,Mathematics or statistics,Research Scientist,Academics/Education,0-1,"50-60,000",55000
8928,Male,40-44,Asia,Doctoral degree,"Computer science (software engineering, etc.)",Product/Project Manager,Computers/Technology,15-20,"70-80,000",75000
8929,Male,35-39,Europe,No formal education past high school,,Other,Computers/Technology,10-15,"30-40,000",35000
8930,Male,25-29,Europe,Doctoral degree,"Information technology, networking, or system administration",Research Scientist,Academics/Education,5-10,"30-40,000",35000
8931,Male,25-29,Asia,Master’s degree,"Computer science (software engineering, etc.)",Data Engineer,Computers/Technology,2-3,"50-60,000",55000
8932,Male,25-29,Europe,Master’s degree,Engineering (non-computer focused),Data Scientist,Broadcasting/Communications,1-2,"70-80,000",75000
8933,Female,22-24,Russia,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,1-2,"0-10,000",5000
8934,Male,25-29,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Government/Public Service,0-1,"0-10,000",5000
8935,Male,30-34,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Research Scientist,Computers/Technology,1-2,"70-80,000",75000
8937,Female,18-21,China,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Computers/Technology,0-1,"0-10,000",5000
8938,Male,35-39,USA,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Software Engineer,Retail/Sales,10-15,"250-300,000",275000
8939,Male,50-54,South America,Master’s degree,"Information technology, networking, or system administration",Data Scientist,Accounting/Finance,5-10,"100-125,000",112500
8940,Female,30-34,Other,Master’s degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,4-5,"0-10,000",5000
8941,Male,25-29,Europe,Bachelor’s degree,Engineering (non-computer focused),Student,I am a student,1-2,"0-10,000",5000
8942,Male,30-34,Europe,Doctoral degree,Other,Statistician,Medical/Pharmaceutical,4-5,"60-70,000",65000
8943,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Student,Computers/Technology,0-1,"0-10,000",5000
8944,Female,25-29,Other,Master’s degree,Mathematics or statistics,Business Analyst,Computers/Technology,4-5,"20-30,000",25000
8947,Male,25-29,Russia,Master’s degree,Mathematics or statistics,Other,Computers/Technology,1-2,"10-20,000",15000
8948,Male,30-34,Europe,Doctoral degree,Physics or astronomy,Data Scientist,Computers/Technology,5-10,"70-80,000",75000
8949,Male,40-44,Europe,Some college/university study without earning a bachelor’s degree,I never declared a major,Consultant,Computers/Technology,15-20,"100-125,000",112500
8951,Female,25-29,Asia,Master’s degree,"Computer science (software engineering, etc.)",Other,Computers/Technology,3-4,"10-20,000",15000
8952,Male,30-34,South America,Master’s degree,Engineering (non-computer focused),Other,Energy/Mining,5-10,"10-20,000",15000
8953,Male,40-44,South America,Master’s degree,"Computer science (software engineering, etc.)",Business Analyst,Energy/Mining,15-20,"50-60,000",55000
8954,Male,25-29,USA,Bachelor’s degree,"Information technology, networking, or system administration",Data Analyst,Manufacturing/Fabrication,2-3,"70-80,000",75000
8955,Male,25-29,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Manufacturing/Fabrication,0-1,"30-40,000",35000
8956,Male,25-29,Other,Bachelor’s degree,Mathematics or statistics,Business Analyst,Other,2-3,"10-20,000",15000
8958,Female,22-24,China,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,I am a student,15-20,"0-10,000",5000
8959,Male,35-39,India,Master’s degree,Physics or astronomy,Software Engineer,Online Service/Internet-based Services,5-10,"10-20,000",15000
8961,Male,50-54,Europe,Master’s degree,Engineering (non-computer focused),Other,Academics/Education,15-20,"20-30,000",25000
8964,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Computers/Technology,3-4,"0-10,000",5000
8966,Male,22-24,South America,Bachelor’s degree,Mathematics or statistics,Data Analyst,Accounting/Finance,2-3,"10-20,000",15000
8967,Male,35-39,India,Master’s degree,Engineering (non-computer focused),Manager,Computers/Technology,10-15,"10-20,000",15000
8968,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"0-10,000",5000
8969,Male,35-39,India,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,10-15,"60-70,000",65000
8970,Male,22-24,Europe,Master’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,0-1,"10-20,000",15000
8972,Male,35-39,Europe,Master’s degree,"Computer science (software engineering, etc.)",Business Analyst,Manufacturing/Fabrication,10-15,"90-100,000",95000
8973,Male,30-34,South America,Doctoral degree,Engineering (non-computer focused),Other,Academics/Education,4-5,"20-30,000",25000
8975,Male,25-29,North America,Master’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Research Scientist,Other,0-1,"40-50,000",45000
8976,Male,25-29,North America,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Energy/Mining,0-1,"40-50,000",45000
8978,Male,30-34,USA,Doctoral degree,Physics or astronomy,Data Scientist,Non-profit/Service,5-10,"70-80,000",75000
8980,Male,30-34,Oceania,Bachelor’s degree,"Computer science (software engineering, etc.)",Product/Project Manager,Energy/Mining,4-5,"125-150,000",137500
8982,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,1-2,"0-10,000",5000
8983,Female,25-29,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Other,1-2,"30-40,000",35000
8985,Male,25-29,Asia,Doctoral degree,"Computer science (software engineering, etc.)",Student,I am a student,4-5,"30-40,000",35000
8986,Male,35-39,Europe,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,10-15,"100-125,000",112500
8987,Male,25-29,South America,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Online Service/Internet-based Services,5-10,"10-20,000",15000
8988,Male,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,2-3,"0-10,000",5000
8991,Male,35-39,Africa,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Other,Accounting/Finance,10-15,"0-10,000",5000
8994,Male,30-34,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Research Assistant,Computers/Technology,4-5,"0-10,000",5000
8997,Male,30-34,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Computers/Technology,1-2,"60-70,000",65000
8998,Male,22-24,South America,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"0-10,000",5000
8999,Female,25-29,India,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Computers/Technology,2-3,"20-30,000",25000
9001,Female,22-24,India,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,0-1,"0-10,000",5000
9002,Male,55-59,USA,Master’s degree,"Computer science (software engineering, etc.)",Chief Officer,Computers/Technology,25-30,"200-250,000",225000
9003,Female,25-29,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Online Business/Internet-based Sales,0-1,"10-20,000",15000
9004,Male,40-44,India,Master’s degree,Engineering (non-computer focused),Product/Project Manager,Computers/Technology,10-15,"20-30,000",25000
9006,Male,35-39,Europe,Doctoral degree,Mathematics or statistics,Software Engineer,Computers/Technology,1-2,"10-20,000",15000
9007,Female,22-24,Europe,Master’s degree,"Computer science (software engineering, etc.)",Student,I am a student,3-4,"0-10,000",5000
9009,Male,22-24,India,Master’s degree,"Information technology, networking, or system administration",Data Scientist,Computers/Technology,0-1,"0-10,000",5000
9011,Male,30-34,Middle East,Master’s degree,"Computer science (software engineering, etc.)",Research Scientist,Computers/Technology,4-5,"60-70,000",65000
9014,Male,45-49,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Other,Academics/Education,15-20,"50-60,000",55000
9015,Female,30-34,Europe,Doctoral degree,Mathematics or statistics,Student,Academics/Education,3-4,"20-30,000",25000
9016,Male,50-54,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Principal Investigator,Computers/Technology,15-20,"90-100,000",95000
9017,Male,22-24,Russia,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Online Business/Internet-based Sales,0-1,"0-10,000",5000
9018,Male,18-21,South America,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,1-2,"0-10,000",5000
9020,Male,25-29,China,Master’s degree,Engineering (non-computer focused),Student,Computers/Technology,2-3,"10-20,000",15000
9021,Male,35-39,USA,Master’s degree,Engineering (non-computer focused),Data Scientist,Retail/Sales,1-2,"100-125,000",112500
9022,Male,30-34,Europe,Doctoral degree,Physics or astronomy,Data Scientist,Online Service/Internet-based Services,0-1,"70-80,000",75000
9023,Male,30-34,Europe,Doctoral degree,Physics or astronomy,Business Analyst,Accounting/Finance,0-1,"30-40,000",35000
9024,Male,25-29,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Research Assistant,Shipping/Transportation,5-10,"60-70,000",65000
9026,Male,30-34,Africa,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Scientist,Computers/Technology,0-1,"0-10,000",5000
9027,Male,30-34,South America,Master’s degree,Mathematics or statistics,Statistician,Government/Public Service,5-10,"20-30,000",25000
9028,Male,22-24,Other,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"0-10,000",5000
9031,Male,22-24,Asia,Master’s degree,"Computer science (software engineering, etc.)",Research Assistant,Computers/Technology,0-1,"50-60,000",55000
9032,Male,25-29,Europe,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Research Scientist,Academics/Education,0-1,"50-60,000",55000
9033,Male,22-24,India,Bachelor’s degree,Mathematics or statistics,Research Assistant,Computers/Technology,1-2,"20-30,000",25000
9037,Male,22-24,Oceania,Master’s degree,"Computer science (software engineering, etc.)",Student,Computers/Technology,2-3,"20-30,000",25000
9038,Male,35-39,Other,Master’s degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,1-2,"30-40,000",35000
9040,Male,25-29,India,Master’s degree,"Computer science (software engineering, etc.)",Business Analyst,Accounting/Finance,5-10,"0-10,000",5000
